央视频道,#genre#
港澳台频道,#genre#
香港卫视,http://taihang.coccc.online:808/hls/347/index.m3u8
香港卫视,http://zhibo.hkstv.tv:80/livestream/mutfysrq.flv
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq.flv
面包台,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
人间卫视,http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u8
番薯,http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8
番薯,http://61.216.67.119:1935/TWHG/E1/chunklist_w7058102.m3u8
TVB星河,http://taihang.coccc.online:808/hls/346/index.m3u8
翡翠台,http://taihang.coccc.online:808/hls/344/index.m3u8
TVB翡翠台,http://taihang.coccc.online:808/hls/345/index.m3u8
凤凰中文,http://taihang.coccc.online:808/hls/348/index.m3u8
凤凰卫视资讯台,http://taihang.coccc.online:808/hls/349/index.m3u8
凤凰卫视电影台,http://taihang.coccc.online:808/hls/351/index.m3u8
凤凰卫视香港台,http://taihang.coccc.online:808/hls/391/index.m3u8
TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/chunklist1.m3u8
TVBS新闻,http://61.221.215.25:8800/hls/9/index.m3u8
番薯台,http://61.216.67.119:1935/TWHG/E1/chunklist_w70581102.m3u8
番薯台,http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8
唯心电视,http://taihang.coccc.online:808/hls/363/index.m3u8

市级频道,#genre#
杭州余杭平安,http://l.cztvcloud.com/channels/lantian/SXyuhang2/720p.m3u8
宁波宁海新闻,http://33658.hlsplay.aodianyun.com/tv_radio_33658/tv_channel_1423.m3u8
杭州萧山综合,http://l.cztvcloud.com/channels/lantian/SXxiaoshan3/720p.m3u8
石家庄新闻,http://120.211.51.175:8081/hls/23/index.m3u8
唐山新闻,http://120.211.51.175:8081/hls/75/index.m3u8
唐山影视,http://120.211.51.175:8081/hls/66/index.m3u8
承德新闻,http://120.211.51.175:8081/hls/71/index.m3u8
保定新闻,http://120.211.51.175:8081/hls/73/index.m3u8
邯郸新闻,http://120.211.51.175:8081/hls/74/index.m3u8
邢台城市,http://120.211.62.180:8000/hls/29/index.m3u8

其它频道,#genre#
之江纪录,https://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
2025-08-15 12:44:14,https://vd3.bdstatic.com/mda-ren0u3qx5hknf8wb/1080p/cae_h264/1747960722207612951/mda-ren0u3qx5hknf8wb.mp4
www.izbds.com,https://vd3.bdstatic.com/mda-ren0u3qx5hknf8wb/1080p/cae_h264/1747960722207612951/mda-ren0u3qx5hknf8wb.mp4
哈哈炫动,http://111.43.126.240:9003/hls/72/index.m3u8
哈哈炫动,http://www.cdnstv.com:6398/hls/1152/index.m3u8
BRTV体育休闲,http://114.241.200.178:8888/rtp/239.3.1.243:8000
动漫秀场,http://www.cdnstv.com:6398/hls/1180/index.m3u8
有线新闻,http://61.10.2.140:80/live_freedirect/freehd209_h.live/chunklist_w135209556.m3u8
魅力足球,http://www.cdnstv.com:6398/hls/1185/index.m3u8
苏州新闻综合,https://live-auth.51kandianshi.com/szgd/csztv1.m3u8
苏州文化生活,https://live-auth.51kandianshi.com/szgd/csztv3.m3u8
苏州社会经济,https://live-auth.51kandianshi.com/szgd/csztv2.m3u8
苏州生活资讯,https://live-auth.51kandianshi.com/szgd/csztv5.m3u8
